task,seq_len,baseline,semrf_mean,base_mean,delta,p_paired_t
assoc_recall,383,nope,0.3854166666666667,0.2171440972222222,0.1682725694444445,0.004761882909758191
assoc_recall,383,sinusoidal,0.3854166666666667,0.11419270833333332,0.27122395833333335,0.0395761802984183
assoc_recall,383,learned,0.3854166666666667,0.22795138888888888,0.1574652777777778,0.0016225713864823372
assoc_recall,383,rope,0.3854166666666667,0.2552517361111111,0.13016493055555556,0.0012632237454819682
assoc_recall,383,alibi,0.3854166666666667,0.7424913194444445,-0.3570746527777778,0.29537325509465057
assoc_recall,383,t5,0.3854166666666667,0.25633680555555555,0.12907986111111114,0.0005156175744042954
assoc_recall,383,cable,0.3854166666666667,1.0,-0.6145833333333333,3.246776297144191e-06
assoc_recall_hard,383,nope,0.46657986111111116,0.25091145833333334,0.21566840277777782,0.34717753412080715
assoc_recall_hard,383,sinusoidal,0.46657986111111116,0.05425347222222223,0.41232638888888895,0.17272538812382682
assoc_recall_hard,383,learned,0.46657986111111116,0.23359375000000002,0.23298611111111114,0.3193595948005716
assoc_recall_hard,383,rope,0.46657986111111116,0.22139756944444444,0.24518229166666672,0.2670884203858112
assoc_recall_hard,383,alibi,0.46657986111111116,0.28563368055555555,0.1809461805555556,0.4450115182958123
assoc_recall_hard,383,t5,0.46657986111111116,0.25199652777777776,0.2145833333333334,0.3781251032721688
selective_copy,528,nope,0.7273003472222223,0.8626302083333334,-0.13532986111111112,0.3007405862045365
selective_copy,528,sinusoidal,0.7273003472222223,0.06182725694444444,0.6654730902777778,0.004303621422758756
selective_copy,528,learned,0.7273003472222223,0.09824218750000001,0.6290581597222222,0.007997937714966137
selective_copy,528,rope,0.7273003472222223,0.09518229166666665,0.6321180555555556,0.0025762039463884637
selective_copy,528,alibi,0.7273003472222223,0.6952473958333334,0.03205295138888886,0.46855046237731635
selective_copy,528,t5,0.7273003472222223,0.9498697916666666,-0.22256944444444438,0.022898031163928995
selective_copy,528,cable,0.7273003472222223,0.16714409722222223,0.56015625,0.0011216320401677997
temporal_recency,383,nope,0.9999359554633358,0.4795684937232132,0.5203674617401226,0.06791523890310293
temporal_recency,383,sinusoidal,0.9999359554633358,0.15353363134286327,0.8464023241204726,1.9640942827625073e-07
temporal_recency,383,learned,0.9999359554633358,0.3574150786694968,0.6425208767938391,0.0020298438041665983
temporal_recency,383,rope,0.9999359554633358,0.5070461538685508,0.492889801594785,0.15266954625361234
temporal_recency,383,alibi,0.9999359554633358,0.9999862751026881,-5.0319639352314205e-05,0.25650740707069
temporal_recency,383,t5,0.9999359554633358,0.35692320971288954,0.6430127457504462,0.009474917944565881
temporal_recency,383,cable,0.9999359554633358,0.9999908475763964,-5.489211306064501e-05,0.26952426389884837
