task,variant,seed,n_params,label,seq_len,token_acc,seq_acc
assoc_recall,alibi,0,3163904,L1,39,1.0,1.0
assoc_recall,alibi,0,3163904,L2,95,1.0,1.0
assoc_recall,alibi,0,3163904,L3,191,0.9998697916666667,0.9989583333333333
assoc_recall,alibi,0,3163904,L4,383,0.9916666666666667,0.9333333333333333
assoc_recall,alibi,1,3163904,L1,39,1.0,1.0
assoc_recall,alibi,1,3163904,L2,95,1.0,1.0
assoc_recall,alibi,1,3163904,L3,191,1.0,1.0
assoc_recall,alibi,1,3163904,L4,383,0.999609375,0.996875
assoc_recall,alibi,2,3163904,L1,39,0.25677083333333334,0.0
assoc_recall,alibi,2,3163904,L2,95,0.2584635416666667,0.0
assoc_recall,alibi,2,3163904,L3,191,0.25638020833333336,0.0
assoc_recall,alibi,2,3163904,L4,383,0.23619791666666667,0.0
assoc_recall,cable,0,3172128,L1,39,1.0,1.0
assoc_recall,cable,0,3172128,L2,95,1.0,1.0
assoc_recall,cable,0,3172128,L3,191,1.0,1.0
assoc_recall,cable,0,3172128,L4,383,1.0,1.0
assoc_recall,cable,1,3172128,L1,39,1.0,1.0
assoc_recall,cable,1,3172128,L2,95,1.0,1.0
assoc_recall,cable,1,3172128,L3,191,1.0,1.0
assoc_recall,cable,1,3172128,L4,383,1.0,1.0
assoc_recall,cable,2,3172128,L1,39,1.0,1.0
assoc_recall,cable,2,3172128,L2,95,1.0,1.0
assoc_recall,cable,2,3172128,L3,191,1.0,1.0
assoc_recall,cable,2,3172128,L4,383,1.0,1.0
assoc_recall,learned,0,3262464,L1,39,0.24895833333333334,0.0
assoc_recall,learned,0,3262464,L2,95,0.22747395833333334,0.0
assoc_recall,learned,0,3262464,L3,191,0.22239583333333332,0.0
assoc_recall,learned,0,3262464,L4,383,0.214453125,0.0
assoc_recall,learned,1,3262464,L1,39,0.25729166666666664,0.0
assoc_recall,learned,1,3262464,L2,95,0.248828125,0.0
assoc_recall,learned,1,3262464,L3,191,0.24375,0.0
assoc_recall,learned,1,3262464,L4,383,0.23515625,0.0
assoc_recall,learned,2,3262464,L1,39,0.2584635416666667,0.0
assoc_recall,learned,2,3262464,L2,95,0.24427083333333333,0.0
assoc_recall,learned,2,3262464,L3,191,0.24153645833333334,0.0
assoc_recall,learned,2,3262464,L4,383,0.23424479166666667,0.0
assoc_recall,nope,0,3163904,L1,39,0.2513020833333333,0.0
assoc_recall,nope,0,3163904,L2,95,0.24973958333333332,0.0
assoc_recall,nope,0,3163904,L3,191,0.248046875,0.0
assoc_recall,nope,0,3163904,L4,383,0.23645833333333333,0.0
assoc_recall,nope,1,3163904,L1,39,0.25807291666666665,0.0
assoc_recall,nope,1,3163904,L2,95,0.2591145833333333,0.0
assoc_recall,nope,1,3163904,L3,191,0.25755208333333335,0.0
assoc_recall,nope,1,3163904,L4,383,0.19596354166666666,0.0
assoc_recall,nope,2,3163904,L1,39,0.25625,0.0
assoc_recall,nope,2,3163904,L2,95,0.2552083333333333,0.0
assoc_recall,nope,2,3163904,L3,191,0.2532552083333333,0.0
assoc_recall,nope,2,3163904,L4,383,0.21901041666666668,0.0
assoc_recall,rope,0,3163904,L1,39,0.245703125,0.0
assoc_recall,rope,0,3163904,L2,95,0.24973958333333332,0.0
assoc_recall,rope,0,3163904,L3,191,0.24375,0.0
assoc_recall,rope,0,3163904,L4,383,0.24869791666666666,0.0
assoc_recall,rope,1,3163904,L1,39,0.257421875,0.0
assoc_recall,rope,1,3163904,L2,95,0.2559895833333333,0.0
assoc_recall,rope,1,3163904,L3,191,0.2591145833333333,0.0
assoc_recall,rope,1,3163904,L4,383,0.26328125,0.0
assoc_recall,rope,2,3163904,L1,39,0.257421875,0.0
assoc_recall,rope,2,3163904,L2,95,0.2576822916666667,0.0
assoc_recall,rope,2,3163904,L3,191,0.25416666666666665,0.0
assoc_recall,rope,2,3163904,L4,383,0.2537760416666667,0.0
assoc_recall,semrf_hard,0,3250307,L1,39,1.0,1.0
assoc_recall,semrf_hard,0,3250307,L2,95,0.9975260416666667,0.9802083333333333
assoc_recall,semrf_hard,0,3250307,L3,191,0.8009114583333333,0.12083333333333333
assoc_recall,semrf_hard,0,3250307,L4,383,0.5014322916666667,0.0
assoc_recall,semrf_hard,1,3250307,L1,39,1.0,1.0
assoc_recall,semrf_hard,1,3250307,L2,95,0.8360677083333333,0.21041666666666667
assoc_recall,semrf_hard,1,3250307,L3,191,0.38919270833333336,0.0
assoc_recall,semrf_hard,1,3250307,L4,383,0.38841145833333335,0.0
assoc_recall,semrf_K64,0,3266819,L1,39,1.0,1.0
assoc_recall,semrf_K64,0,3266819,L2,95,0.8830729166666667,0.34375
assoc_recall,semrf_K64,0,3266819,L3,191,0.391796875,0.0
assoc_recall,semrf_K64,0,3266819,L4,383,0.38671875,0.0
assoc_recall,semrf_K64,1,3266819,L1,39,1.0,1.0
assoc_recall,semrf_K64,1,3266819,L2,95,0.9173177083333334,0.490625
assoc_recall,semrf_K64,1,3266819,L3,191,0.39869791666666665,0.0
assoc_recall,semrf_K64,1,3266819,L4,383,0.38502604166666665,0.0
assoc_recall,semrf_K8,0,3248003,L1,39,0.5954427083333333,0.023958333333333335
assoc_recall,semrf_K8,0,3248003,L2,95,0.43671875,0.004166666666666667
assoc_recall,semrf_K8,0,3248003,L3,191,0.33033854166666665,0.0010416666666666667
assoc_recall,semrf_K8,0,3248003,L4,383,0.2813802083333333,0.0
assoc_recall,semrf_K8,1,3248003,L1,39,1.0,1.0
assoc_recall,semrf_K8,1,3248003,L2,95,0.7567708333333333,0.08645833333333333
assoc_recall,semrf_K8,1,3248003,L3,191,0.38528645833333336,0.0
assoc_recall,semrf_K8,1,3248003,L4,383,0.38567708333333334,0.0
assoc_recall,semrf_no_res,0,3233923,L1,39,0.25026041666666665,0.0
assoc_recall,semrf_no_res,0,3233923,L2,95,0.2513020833333333,0.0
assoc_recall,semrf_no_res,0,3233923,L3,191,0.25078125,0.0
assoc_recall,semrf_no_res,0,3233923,L4,383,0.24869791666666666,0.0
assoc_recall,semrf_no_res,1,3233923,L1,39,1.0,1.0
assoc_recall,semrf_no_res,1,3233923,L2,95,0.959375,0.70625
assoc_recall,semrf_no_res,1,3233923,L3,191,0.4147135416666667,0.0
assoc_recall,semrf_no_res,1,3233923,L4,383,0.38515625,0.0
assoc_recall,semrf_no_sem,0,3250051,L1,39,1.0,1.0
assoc_recall,semrf_no_sem,0,3250051,L2,95,0.6697916666666667,0.03125
assoc_recall,semrf_no_sem,0,3250051,L3,191,0.3848958333333333,0.0
assoc_recall,semrf_no_sem,0,3250051,L4,383,0.384765625,0.0
assoc_recall,semrf_no_sem,1,3250051,L1,39,1.0,1.0
assoc_recall,semrf_no_sem,1,3250051,L2,95,0.9888020833333333,0.9125
assoc_recall,semrf_no_sem,1,3250051,L3,191,0.59453125,0.007291666666666667
assoc_recall,semrf_no_sem,1,3250051,L4,383,0.3854166666666667,0.0
assoc_recall,semrf_no_time,0,3250179,L1,39,0.3131510416666667,0.0
assoc_recall,semrf_no_time,0,3250179,L2,95,0.31328125,0.0
assoc_recall,semrf_no_time,0,3250179,L3,191,0.3087239583333333,0.0
assoc_recall,semrf_no_time,0,3250179,L4,383,0.22916666666666666,0.0
assoc_recall,semrf_no_time,1,3250179,L1,39,0.32721354166666666,0.0
assoc_recall,semrf_no_time,1,3250179,L2,95,0.32669270833333336,0.0
assoc_recall,semrf_no_time,1,3250179,L3,191,0.32057291666666665,0.0
assoc_recall,semrf_no_time,1,3250179,L4,383,0.31145833333333334,0.0
assoc_recall,semrf,0,3250307,L1,39,1.0,1.0
assoc_recall,semrf,0,3250307,L2,95,0.7690104166666667,0.090625
assoc_recall,semrf,0,3250307,L3,191,0.3868489583333333,0.0
assoc_recall,semrf,0,3250307,L4,383,0.384375,0.0
assoc_recall,semrf,1,3250307,L1,39,1.0,1.0
assoc_recall,semrf,1,3250307,L2,95,0.925,0.5322916666666667
assoc_recall,semrf,1,3250307,L3,191,0.38958333333333334,0.0
assoc_recall,semrf,1,3250307,L4,383,0.38424479166666664,0.0
assoc_recall,semrf,2,3250307,L1,39,1.0,1.0
assoc_recall,semrf,2,3250307,L2,95,0.90390625,0.421875
assoc_recall,semrf,2,3250307,L3,191,0.389453125,0.0
assoc_recall,semrf,2,3250307,L4,383,0.38763020833333334,0.0
assoc_recall,sinusoidal,0,3163904,L1,39,0.240234375,0.0
assoc_recall,sinusoidal,0,3163904,L2,95,0.22916666666666666,0.0
assoc_recall,sinusoidal,0,3163904,L3,191,0.028255208333333334,0.0
assoc_recall,sinusoidal,0,3163904,L4,383,0.0020833333333333333,0.0
assoc_recall,sinusoidal,1,3163904,L1,39,0.254296875,0.0
assoc_recall,sinusoidal,1,3163904,L2,95,0.22473958333333333,0.0
assoc_recall,sinusoidal,1,3163904,L3,191,0.19166666666666668,0.0
assoc_recall,sinusoidal,1,3163904,L4,383,0.17395833333333333,0.0
assoc_recall,sinusoidal,2,3163904,L1,39,0.219140625,0.0
assoc_recall,sinusoidal,2,3163904,L2,95,0.21197916666666666,0.0
assoc_recall,sinusoidal,2,3163904,L3,191,0.18893229166666667,0.0
assoc_recall,sinusoidal,2,3163904,L4,383,0.16653645833333333,0.0
assoc_recall,t5,0,3164160,L1,39,0.25026041666666665,0.0
assoc_recall,t5,0,3164160,L2,95,0.249609375,0.0
assoc_recall,t5,0,3164160,L3,191,0.24934895833333334,0.0
assoc_recall,t5,0,3164160,L4,383,0.25026041666666665,0.0
assoc_recall,t5,1,3164160,L1,39,0.2559895833333333,0.0
assoc_recall,t5,1,3164160,L2,95,0.25755208333333335,0.0
assoc_recall,t5,1,3164160,L3,191,0.25924479166666664,0.0
assoc_recall,t5,1,3164160,L4,383,0.26028645833333336,0.0
assoc_recall,t5,2,3164160,L1,39,0.25703125,0.0
assoc_recall,t5,2,3164160,L2,95,0.25481770833333334,0.0
assoc_recall,t5,2,3164160,L3,191,0.25755208333333335,0.0
assoc_recall,t5,2,3164160,L4,383,0.2584635416666667,0.0
assoc_recall_hard,alibi,0,3163904,L1,47,0.28229166666666666,0.0
assoc_recall_hard,alibi,0,3163904,L2,95,0.276953125,0.0
assoc_recall_hard,alibi,0,3163904,L3,191,0.2708333333333333,0.0
assoc_recall_hard,alibi,0,3163904,L4,383,0.25221354166666665,0.0
assoc_recall_hard,alibi,1,3163904,L1,47,0.33828125,0.0010416666666666667
assoc_recall_hard,alibi,1,3163904,L2,95,0.3399739583333333,0.0010416666666666667
assoc_recall_hard,alibi,1,3163904,L3,191,0.32643229166666665,0.0010416666666666667
assoc_recall_hard,alibi,1,3163904,L4,383,0.308203125,0.0
assoc_recall_hard,alibi,2,3163904,L1,47,0.3123697916666667,0.0
assoc_recall_hard,alibi,2,3163904,L2,95,0.310546875,0.0
assoc_recall_hard,alibi,2,3163904,L3,191,0.30755208333333334,0.0
assoc_recall_hard,alibi,2,3163904,L4,383,0.296484375,0.0
assoc_recall_hard,learned,0,3262464,L1,47,0.223828125,0.0
assoc_recall_hard,learned,0,3262464,L2,95,0.233984375,0.0
assoc_recall_hard,learned,0,3262464,L3,191,0.23359375,0.0
assoc_recall_hard,learned,0,3262464,L4,383,0.22916666666666666,0.0
assoc_recall_hard,learned,1,3262464,L1,47,0.23815104166666667,0.0
assoc_recall_hard,learned,1,3262464,L2,95,0.24296875,0.0
assoc_recall_hard,learned,1,3262464,L3,191,0.24427083333333333,0.0
assoc_recall_hard,learned,1,3262464,L4,383,0.24153645833333334,0.0
assoc_recall_hard,learned,2,3262464,L1,47,0.23190104166666667,0.0
assoc_recall_hard,learned,2,3262464,L2,95,0.24075520833333333,0.0
assoc_recall_hard,learned,2,3262464,L3,191,0.241015625,0.0
assoc_recall_hard,learned,2,3262464,L4,383,0.230078125,0.0
assoc_recall_hard,nope,0,3163904,L1,47,0.24973958333333332,0.0
assoc_recall_hard,nope,0,3163904,L2,95,0.24908854166666666,0.0
assoc_recall_hard,nope,0,3163904,L3,191,0.249609375,0.0
assoc_recall_hard,nope,0,3163904,L4,383,0.24752604166666667,0.0
assoc_recall_hard,nope,1,3163904,L1,47,0.2615885416666667,0.0
assoc_recall_hard,nope,1,3163904,L2,95,0.2618489583333333,0.0
assoc_recall_hard,nope,1,3163904,L3,191,0.2571614583333333,0.0
assoc_recall_hard,nope,1,3163904,L4,383,0.2552083333333333,0.0
assoc_recall_hard,nope,2,3163904,L1,47,0.26223958333333336,0.0
assoc_recall_hard,nope,2,3163904,L2,95,0.259765625,0.0
assoc_recall_hard,nope,2,3163904,L3,191,0.260546875,0.0
assoc_recall_hard,nope,2,3163904,L4,383,0.25,0.0
assoc_recall_hard,rope,0,3163904,L1,47,0.24986979166666667,0.0
assoc_recall_hard,rope,0,3163904,L2,95,0.24973958333333332,0.0
assoc_recall_hard,rope,0,3163904,L3,191,0.24674479166666666,0.0
assoc_recall_hard,rope,0,3163904,L4,383,0.248828125,0.0
assoc_recall_hard,rope,1,3163904,L1,47,0.26067708333333334,0.0
assoc_recall_hard,rope,1,3163904,L2,95,0.25729166666666664,0.0
assoc_recall_hard,rope,1,3163904,L3,191,0.25755208333333335,0.0
assoc_recall_hard,rope,1,3163904,L4,383,0.22955729166666666,0.0
assoc_recall_hard,rope,2,3163904,L1,47,0.25729166666666664,0.0
assoc_recall_hard,rope,2,3163904,L2,95,0.25729166666666664,0.0
assoc_recall_hard,rope,2,3163904,L3,191,0.25625,0.0
assoc_recall_hard,rope,2,3163904,L4,383,0.18580729166666668,0.0
assoc_recall_hard,semrf_hard,0,3250307,L1,47,1.0,1.0
assoc_recall_hard,semrf_hard,0,3250307,L2,95,1.0,1.0
assoc_recall_hard,semrf_hard,0,3250307,L3,191,0.9876302083333334,0.903125
assoc_recall_hard,semrf_hard,0,3250307,L4,383,0.8670572916666667,0.275
assoc_recall_hard,semrf_hard,1,3250307,L1,47,0.25729166666666664,0.0
assoc_recall_hard,semrf_hard,1,3250307,L2,95,0.2579427083333333,0.0
assoc_recall_hard,semrf_hard,1,3250307,L3,191,0.25703125,0.0
assoc_recall_hard,semrf_hard,1,3250307,L4,383,0.24973958333333332,0.0
assoc_recall_hard,semrf_K64,0,3266819,L1,47,0.2942708333333333,0.0
assoc_recall_hard,semrf_K64,0,3266819,L2,95,0.2911458333333333,0.0
assoc_recall_hard,semrf_K64,0,3266819,L3,191,0.27265625,0.0
assoc_recall_hard,semrf_K64,0,3266819,L4,383,0.25494791666666666,0.0
assoc_recall_hard,semrf_K64,1,3266819,L1,47,0.328515625,0.0
assoc_recall_hard,semrf_K64,1,3266819,L2,95,0.32643229166666665,0.0010416666666666667
assoc_recall_hard,semrf_K64,1,3266819,L3,191,0.31927083333333334,0.0
assoc_recall_hard,semrf_K64,1,3266819,L4,383,0.298828125,0.0
assoc_recall_hard,semrf_K8,0,3248003,L1,47,0.32278645833333336,0.0010416666666666667
assoc_recall_hard,semrf_K8,0,3248003,L2,95,0.322265625,0.0010416666666666667
assoc_recall_hard,semrf_K8,0,3248003,L3,191,0.316015625,0.0010416666666666667
assoc_recall_hard,semrf_K8,0,3248003,L4,383,0.3,0.0010416666666666667
assoc_recall_hard,semrf_K8,1,3248003,L1,47,0.40989583333333335,0.0020833333333333333
assoc_recall_hard,semrf_K8,1,3248003,L2,95,0.401171875,0.0020833333333333333
assoc_recall_hard,semrf_K8,1,3248003,L3,191,0.3619791666666667,0.0010416666666666667
assoc_recall_hard,semrf_K8,1,3248003,L4,383,0.28046875,0.0
assoc_recall_hard,semrf_no_res,0,3233923,L1,47,0.24986979166666667,0.0
assoc_recall_hard,semrf_no_res,0,3233923,L2,95,0.249609375,0.0
assoc_recall_hard,semrf_no_res,0,3233923,L3,191,0.2518229166666667,0.0
assoc_recall_hard,semrf_no_res,0,3233923,L4,383,0.24440104166666668,0.0
assoc_recall_hard,semrf_no_res,1,3233923,L1,47,0.27838541666666666,0.0
assoc_recall_hard,semrf_no_res,1,3233923,L2,95,0.28072916666666664,0.0
assoc_recall_hard,semrf_no_res,1,3233923,L3,191,0.27447916666666666,0.0
assoc_recall_hard,semrf_no_res,1,3233923,L4,383,0.251953125,0.0
assoc_recall_hard,semrf_no_sem,0,3250051,L1,47,1.0,1.0
assoc_recall_hard,semrf_no_sem,0,3250051,L2,95,0.9998697916666667,0.9989583333333333
assoc_recall_hard,semrf_no_sem,0,3250051,L3,191,0.4095052083333333,0.0
assoc_recall_hard,semrf_no_sem,0,3250051,L4,383,0.38372395833333334,0.0
assoc_recall_hard,semrf_no_sem,1,3250051,L1,47,0.258203125,0.0
assoc_recall_hard,semrf_no_sem,1,3250051,L2,95,0.25638020833333336,0.0
assoc_recall_hard,semrf_no_sem,1,3250051,L3,191,0.2576822916666667,0.0
assoc_recall_hard,semrf_no_sem,1,3250051,L4,383,0.25859375,0.0
assoc_recall_hard,semrf_no_time,0,3250179,L1,47,0.25052083333333336,0.0
assoc_recall_hard,semrf_no_time,0,3250179,L2,95,0.2520833333333333,0.0
assoc_recall_hard,semrf_no_time,0,3250179,L3,191,0.2506510416666667,0.0
assoc_recall_hard,semrf_no_time,0,3250179,L4,383,0.25026041666666665,0.0
assoc_recall_hard,semrf_no_time,1,3250179,L1,47,0.25703125,0.0
assoc_recall_hard,semrf_no_time,1,3250179,L2,95,0.2557291666666667,0.0
assoc_recall_hard,semrf_no_time,1,3250179,L3,191,0.2584635416666667,0.0
assoc_recall_hard,semrf_no_time,1,3250179,L4,383,0.2571614583333333,0.0
assoc_recall_hard,semrf,0,3250307,L1,47,1.0,1.0
assoc_recall_hard,semrf,0,3250307,L2,95,1.0,1.0
assoc_recall_hard,semrf,0,3250307,L3,191,0.9805989583333333,0.846875
assoc_recall_hard,semrf,0,3250307,L4,383,0.8157552083333334,0.14895833333333333
assoc_recall_hard,semrf,1,3250307,L1,47,0.33541666666666664,0.0010416666666666667
assoc_recall_hard,semrf,1,3250307,L2,95,0.33502604166666666,0.0010416666666666667
assoc_recall_hard,semrf,1,3250307,L3,191,0.33346354166666664,0.0010416666666666667
assoc_recall_hard,semrf,1,3250307,L4,383,0.32135416666666666,0.0010416666666666667
assoc_recall_hard,semrf,2,3250307,L1,47,0.2708333333333333,0.0
assoc_recall_hard,semrf,2,3250307,L2,95,0.271484375,0.0
assoc_recall_hard,semrf,2,3250307,L3,191,0.2671875,0.0
assoc_recall_hard,semrf,2,3250307,L4,383,0.26263020833333334,0.0
assoc_recall_hard,sinusoidal,0,3163904,L1,47,0.08255208333333333,0.0
assoc_recall_hard,sinusoidal,0,3163904,L2,95,0.16692708333333334,0.0
assoc_recall_hard,sinusoidal,0,3163904,L3,191,0.11575520833333333,0.0
assoc_recall_hard,sinusoidal,0,3163904,L4,383,0.010416666666666666,0.0
assoc_recall_hard,sinusoidal,1,3163904,L1,47,0.09049479166666667,0.0
assoc_recall_hard,sinusoidal,1,3163904,L2,95,0.14322916666666666,0.0
assoc_recall_hard,sinusoidal,1,3163904,L3,191,0.08502604166666666,0.0
assoc_recall_hard,sinusoidal,1,3163904,L4,383,0.06354166666666666,0.0
assoc_recall_hard,sinusoidal,2,3163904,L1,47,0.066796875,0.0
assoc_recall_hard,sinusoidal,2,3163904,L2,95,0.12786458333333334,0.0
assoc_recall_hard,sinusoidal,2,3163904,L3,191,0.09700520833333333,0.0
assoc_recall_hard,sinusoidal,2,3163904,L4,383,0.08880208333333334,0.0
assoc_recall_hard,t5,0,3164160,L1,47,0.24921875,0.0
assoc_recall_hard,t5,0,3164160,L2,95,0.25078125,0.0
assoc_recall_hard,t5,0,3164160,L3,191,0.244140625,0.0
assoc_recall_hard,t5,0,3164160,L4,383,0.22200520833333334,0.0
assoc_recall_hard,t5,1,3164160,L1,47,0.25859375,0.0
assoc_recall_hard,t5,1,3164160,L2,95,0.2576822916666667,0.0
assoc_recall_hard,t5,1,3164160,L3,191,0.25859375,0.0
assoc_recall_hard,t5,1,3164160,L4,383,0.255078125,0.0
assoc_recall_hard,t5,2,3164160,L1,47,0.32916666666666666,0.0010416666666666667
assoc_recall_hard,t5,2,3164160,L2,95,0.3274739583333333,0.0010416666666666667
assoc_recall_hard,t5,2,3164160,L3,191,0.312109375,0.0010416666666666667
assoc_recall_hard,t5,2,3164160,L4,383,0.27890625,0.0010416666666666667
selective_copy,alibi,0,3160064,L1,144,0.999609375,0.99375
selective_copy,alibi,0,3160064,L2,272,0.9706380208333333,0.6395833333333333
selective_copy,alibi,0,3160064,L3,400,0.844140625,0.06979166666666667
selective_copy,alibi,0,3160064,L4,528,0.6796875,0.0010416666666666667
selective_copy,alibi,1,3160064,L1,144,0.9994791666666667,0.9916666666666667
selective_copy,alibi,1,3160064,L2,272,0.9696614583333333,0.640625
selective_copy,alibi,1,3160064,L3,400,0.8448567708333333,0.084375
selective_copy,alibi,1,3160064,L4,528,0.6994140625,0.005208333333333333
