task,variant,seed,n_params,token_acc,seq_acc,train_time_s
assoc_recall,alibi,0,3163904,1.0,1.0,696.6634945869446
assoc_recall,alibi,1,3163904,1.0,1.0,267.87256145477295
assoc_recall,alibi,2,3163904,0.25791015625,0.0,307.7091381549835
assoc_recall,cable,0,3172128,1.0,1.0,389.4021553993225
assoc_recall,cable,1,3172128,1.0,1.0,376.362979888916
assoc_recall,cable,2,3172128,1.0,1.0,353.05026841163635
assoc_recall,learned,0,3262464,0.2603515625,0.00078125,296.4421980381012
assoc_recall,learned,1,3262464,0.26005859375,0.0,296.98767161369324
assoc_recall,learned,2,3262464,0.2626953125,0.0,295.01369976997375
assoc_recall,nope,0,3163904,0.25673828125,0.00078125,297.6892969608307
assoc_recall,nope,1,3163904,0.26005859375,0.0,292.64818930625916
assoc_recall,nope,2,3163904,0.2607421875,0.0,291.67233967781067
assoc_recall,rope,0,3163904,0.25654296875,0.00078125,346.2068610191345
assoc_recall,rope,1,3163904,0.26123046875,0.0,315.77525997161865
assoc_recall,rope,2,3163904,0.261328125,0.0,624.0052027702332
assoc_recall,semrf_hard,0,3250307,1.0,1.0,445.49673795700073
assoc_recall,semrf_hard,1,3250307,1.0,1.0,401.4387483596802
assoc_recall,semrf_K64,0,3266819,1.0,1.0,411.5525803565979
assoc_recall,semrf_K64,1,3266819,1.0,1.0,400.70988416671753
assoc_recall,semrf_K8,0,3248003,0.60634765625,0.02890625,397.19349455833435
assoc_recall,semrf_K8,1,3248003,1.0,1.0,426.3652181625366
assoc_recall,semrf_no_res,0,3233923,0.26201171875,0.00078125,421.94719314575195
assoc_recall,semrf_no_res,1,3233923,1.0,1.0,422.51488494873047
assoc_recall,semrf_no_sem,0,3250051,1.0,1.0,395.7289824485779
assoc_recall,semrf_no_sem,1,3250051,1.0,1.0,391.1913974285126
assoc_recall,semrf_no_time,0,3250179,0.32568359375,0.0,383.96148896217346
assoc_recall,semrf_no_time,1,3250179,0.334765625,0.0,406.06174302101135
assoc_recall,semrf,0,3250307,1.0,1.0,402.0218288898468
assoc_recall,semrf,1,3250307,1.0,1.0,400.80297470092773
assoc_recall,semrf,2,3250307,1.0,1.0,397.6918067932129
assoc_recall,sinusoidal,0,3163904,0.252734375,0.00078125,296.32646226882935
assoc_recall,sinusoidal,1,3163904,0.25625,0.0,296.39620327949524
assoc_recall,sinusoidal,2,3163904,0.22958984375,0.0,295.9014768600464
assoc_recall,t5,0,3164160,0.25859375,0.00078125,307.1240129470825
assoc_recall,t5,1,3164160,0.25966796875,0.0,320.7216832637787
assoc_recall,t5,2,3164160,0.2623046875,0.0,323.84824109077454
assoc_recall_hard,alibi,0,3163904,0.29384765625,0.0015625,565.6861007213593
assoc_recall_hard,alibi,1,3163904,0.33544921875,0.0,562.4408066272736
assoc_recall_hard,alibi,2,3163904,0.3177734375,0.0,566.274498462677
assoc_recall_hard,learned,0,3262464,0.259765625,0.00078125,447.91017985343933
assoc_recall_hard,learned,1,3262464,0.25986328125,0.0,448.49124813079834
assoc_recall_hard,learned,2,3262464,0.26181640625,0.0,515.2822241783142
assoc_recall_hard,nope,0,3163904,0.2568359375,0.00078125,442.0812339782715
assoc_recall_hard,nope,1,3163904,0.26318359375,0.0,439.83549976348877
assoc_recall_hard,nope,2,3163904,0.266015625,0.0,438.05385851860046
assoc_recall_hard,rope,0,3163904,0.25869140625,0.00078125,678.943112373352
assoc_recall_hard,rope,1,3163904,0.2599609375,0.0,669.3610756397247
assoc_recall_hard,rope,2,3163904,0.2638671875,0.0,671.442045211792
assoc_recall_hard,semrf_hard,0,3250307,1.0,1.0,452.41554713249207
assoc_recall_hard,semrf_hard,1,3250307,0.25849609375,0.0,456.73255348205566
assoc_recall_hard,semrf_K64,0,3266819,0.30615234375,0.00078125,429.1048240661621
assoc_recall_hard,semrf_K64,1,3266819,0.32587890625,0.0,431.6442799568176
assoc_recall_hard,semrf_K8,0,3248003,0.323828125,0.00078125,449.558189868927
assoc_recall_hard,semrf_K8,1,3248003,0.41484375,0.00390625,442.27636766433716
assoc_recall_hard,semrf_no_res,0,3233923,0.25986328125,0.00078125,408.14903450012207
assoc_recall_hard,semrf_no_res,1,3233923,0.284375,0.0,427.52894592285156
assoc_recall_hard,semrf_no_sem,0,3250051,1.0,1.0,423.8419952392578
assoc_recall_hard,semrf_no_sem,1,3250051,0.25810546875,0.0,427.6373860836029
assoc_recall_hard,semrf_no_time,0,3250179,0.25908203125,0.00078125,583.7619590759277
assoc_recall_hard,semrf_no_time,1,3250179,0.25849609375,0.0,505.11601543426514
assoc_recall_hard,semrf,0,3250307,1.0,1.0,786.4198207855225
assoc_recall_hard,semrf,1,3250307,0.3326171875,0.0,792.188946723938
assoc_recall_hard,semrf,2,3250307,0.27001953125,0.0,642.8255043029785
assoc_recall_hard,sinusoidal,0,3163904,0.19287109375,0.0,447.5893337726593
assoc_recall_hard,sinusoidal,1,3163904,0.147265625,0.0,451.40463948249817
assoc_recall_hard,sinusoidal,2,3163904,0.180859375,0.0,446.9087076187134
assoc_recall_hard,t5,0,3164160,0.261328125,0.00078125,680.6935682296753
assoc_recall_hard,t5,1,3164160,0.26142578125,0.0,675.9014599323273
assoc_recall_hard,t5,2,3164160,0.3294921875,0.0,684.6756842136383
selective_copy,alibi,0,3160064,0.998779296875,0.98125,127.9993965625763
selective_copy,alibi,1,3160064,0.999365234375,0.98984375,128.04592037200928
selective_copy,alibi,2,3160064,0.99951171875,0.9921875,128.2092080116272
selective_copy,cable,0,3168288,0.12294921875,0.0,216.12256741523743
selective_copy,cable,1,3168288,0.17353515625,0.0,209.9827561378479
selective_copy,cable,2,3168288,0.226416015625,0.0,177.60957312583923
selective_copy,learned,0,3295744,0.999951171875,0.99921875,120.25123810768127
selective_copy,learned,1,3295744,1.0,1.0,119.56101679801941
selective_copy,learned,2,3295744,0.999951171875,0.99921875,120.01806592941284
selective_copy,nope,0,3160064,0.999755859375,0.99609375,118.57228207588196
selective_copy,nope,1,3160064,0.999853515625,0.99765625,118.80294752120972
selective_copy,nope,2,3160064,0.999609375,0.9953125,118.94197177886963
selective_copy,rope,0,3160064,1.0,1.0,138.09647631645203
selective_copy,rope,1,3160064,0.99931640625,0.9890625,137.54230332374573
selective_copy,rope,2,3160064,0.999853515625,0.99765625,138.4954674243927
selective_copy,semrf_hard,0,3246467,0.999072265625,0.98515625,175.9665083885193
selective_copy,semrf_hard,1,3246467,0.99921875,0.98828125,175.81262755393982
selective_copy,semrf_K64,0,3262979,0.999072265625,0.9859375,174.62962198257446
selective_copy,semrf_K64,1,3262979,0.998388671875,0.97421875,174.76597142219543
selective_copy,semrf_K8,0,3244163,0.99951171875,0.99296875,174.2680401802063
selective_copy,semrf_K8,1,3244163,0.998974609375,0.984375,174.7117521762848
selective_copy,semrf_no_res,0,3230083,0.9994140625,0.990625,169.30041456222534
selective_copy,semrf_no_res,1,3230083,0.99912109375,0.9859375,169.19987320899963
selective_copy,semrf_no_sem,0,3246211,0.9994140625,0.990625,170.4181568622589
selective_copy,semrf_no_sem,1,3246211,0.9994140625,0.990625,170.3806757926941
selective_copy,semrf_no_time,0,3246339,0.999072265625,0.9875,164.7929344177246
selective_copy,semrf_no_time,1,3246339,0.999755859375,0.99609375,164.37528800964355
selective_copy,semrf,0,3246467,0.99931640625,0.98984375,174.96571469306946
selective_copy,semrf,1,3246467,0.999609375,0.99375,174.43258476257324
selective_copy,semrf,2,3246467,0.998974609375,0.98359375,174.87088823318481
selective_copy,sinusoidal,0,3160064,0.06611328125,0.0,120.80449151992798
selective_copy,sinusoidal,1,3160064,0.06298828125,0.0,120.93645358085632
selective_copy,sinusoidal,2,3160064,0.062939453125,0.0,121.25221705436707
selective_copy,t5,0,3160320,0.999609375,0.99375,138.94113278388977
selective_copy,t5,1,3160320,0.99990234375,0.9984375,138.652241230011
selective_copy,t5,2,3160320,0.999658203125,0.9953125,138.19485425949097
temporal_recency,alibi,0,3161088,1.0,1.0,413.4314317703247
temporal_recency,alibi,1,3161088,1.0,1.0,405.67870831489563
temporal_recency,alibi,2,3161088,1.0,1.0,408.45539474487305
temporal_recency,cable,0,3169312,1.0,1.0,579.9563105106354
temporal_recency,cable,1,3169312,1.0,1.0,573.1015820503235
temporal_recency,cable,2,3169312,1.0,1.0,615.9898703098297
temporal_recency,learned,0,3259648,0.9998316073082428,0.996875,421.47526836395264
temporal_recency,learned,1,3259648,1.0,1.0,416.94217801094055
temporal_recency,learned,2,3259648,1.0,1.0,401.8670253753662
temporal_recency,nope,0,3161088,0.40199545339732257,0.0,458.2058672904968
temporal_recency,nope,1,3161088,0.999873593730249,0.99765625,407.80445528030396
temporal_recency,nope,2,3161088,0.9992824582137431,0.98984375,406.7127139568329
temporal_recency,rope,0,3161088,1.0,1.0,418.37833070755005
temporal_recency,rope,1,3161088,0.397294905827329,0.0,418.32057762145996
temporal_recency,rope,2,3161088,0.39722269120378184,0.0,415.26402401924133
temporal_recency,semrf_hard,0,3247491,1.0,1.0,586.2369184494019
temporal_recency,semrf_hard,1,3247491,1.0,1.0,543.6831660270691
temporal_recency,semrf_K64,0,3264003,0.9999579018270607,0.99921875,541.9268133640289
temporal_recency,semrf_K64,1,3264003,1.0,1.0,535.3458876609802
temporal_recency,semrf_K8,0,3245187,1.0,1.0,533.7115821838379
temporal_recency,semrf_K8,1,3245187,1.0,1.0,534.3553514480591
temporal_recency,semrf_no_res,0,3231107,1.0,1.0,568.207864522934
temporal_recency,semrf_no_res,1,3231107,1.0,1.0,486.6847448348999
temporal_recency,semrf_no_sem,0,3247235,1.0,1.0,561.6181626319885
temporal_recency,semrf_no_sem,1,3247235,1.0,1.0,569.9967787265778
temporal_recency,semrf_no_time,0,3247363,0.9977687968342174,0.96015625,548.9804539680481
temporal_recency,semrf_no_time,1,3247363,0.9970083849492268,0.94765625,511.2966425418854
temporal_recency,semrf,0,3247491,1.0,1.0,495.07149171829224
temporal_recency,semrf,1,3247491,1.0,1.0,486.6990554332733
temporal_recency,semrf,2,3247491,1.0,1.0,538.9263508319855
temporal_recency,sinusoidal,0,3161088,0.39706996716342513,0.0,431.81621265411377
temporal_recency,sinusoidal,1,3161088,0.39253360300004214,0.0,429.1824128627777
temporal_recency,sinusoidal,2,3161088,0.38970960661826776,0.0,424.2979691028595
temporal_recency,t5,0,3161344,0.9999158036541214,0.9984375,412.05117654800415
temporal_recency,t5,1,3161344,0.3999915729153499,0.0,388.6832797527313
temporal_recency,t5,2,3161344,0.3975181495863583,0.0,399.93272852897644
