device=cpu threads=4 seeds=[0, 1, 2] iters=3000/2000/1000
ablate eps_0.15 seed0: psnr=20.95 hf=24.65 (445s)
ablate eps_0.05 seed0: psnr=19.90 hf=24.17 (487s)
ablate eps_0.1 seed0: psnr=19.94 hf=24.21 (461s)
ablate eps_0.3 seed0: psnr=20.84 hf=24.60 (450s)
ablate eps_0.6 seed0: psnr=20.72 hf=24.48 (461s)
ablate levels_4 seed0: psnr=19.83 hf=24.20 (459s)
ablate levels_8 seed0: psnr=20.33 hf=24.38 (450s)
ablate levels_32 seed0: psnr=20.91 hf=24.66 (445s)
ablate beta_0.01 seed0: psnr=20.66 hf=24.49 (479s)
ablate beta_0.2 seed0: psnr=20.39 hf=24.34 (464s)
ablate beta_1.0 seed0: psnr=18.44 hf=23.89 (422s)
ablate n4096_mse seed0: psnr=17.70 hf=21.88 (101s)
ablate n4096_ffl_interp seed0: psnr=20.13 hf=23.94 (584s)
ablate n4096_kacrice_est seed0: psnr=19.78 hf=23.98 (240s)
ablate n16384_mse seed0: psnr=20.24 hf=23.58 (576s)
ablate n16384_ffl_interp seed0: psnr=22.34 hf=25.44 (1199s)
ablate n16384_kacrice_est seed0: psnr=22.21 hf=25.44 (1329s)
ablate n8192_mse seed0: psnr=18.85 hf=22.72 (263s)
ablate n8192_ffl_interp seed0: psnr=21.12 hf=24.68 (855s)
ablate n8192_kacrice_est seed0: psnr=20.95 hf=24.65 (602s)
ablate eps_0.15 seed1: psnr=20.62 hf=24.47 (603s)
ablate eps_0.05 seed1: psnr=19.32 hf=23.84 (629s)
ablate eps_0.1 seed1: psnr=20.27 hf=24.27 (563s)
ablate eps_0.3 seed1: psnr=20.85 hf=24.49 (570s)
ablate eps_0.6 seed1: psnr=20.96 hf=24.62 (572s)
ablate levels_4 seed1: psnr=19.86 hf=24.04 (603s)
ablate levels_8 seed1: psnr=20.52 hf=24.37 (792s)
ablate levels_32 seed1: psnr=20.95 hf=24.59 (801s)
ablate beta_0.01 seed1: psnr=20.72 hf=24.51 (689s)
ablate beta_0.2 seed1: psnr=20.43 hf=24.36 (728s)
ablate beta_1.0 seed1: psnr=18.39 hf=23.87 (825s)
ablate n4096_mse seed1: psnr=17.52 hf=22.11 (227s)
ablate n4096_ffl_interp seed1: psnr=20.12 hf=23.99 (928s)
ablate n4096_kacrice_est seed1: psnr=19.61 hf=23.89 (507s)
ablate n16384_mse seed1: psnr=20.56 hf=23.92 (665s)
ablate n16384_ffl_interp seed1: psnr=22.59 hf=25.53 (1444s)
ablate n16384_kacrice_est seed1: psnr=21.95 hf=25.16 (1428s)
ablate n8192_mse seed1: psnr=18.74 hf=22.81 (264s)
ablate n8192_ffl_interp seed1: psnr=21.24 hf=24.57 (864s)
ablate n8192_kacrice_est seed1: psnr=20.62 hf=24.47 (641s)
ALL DONE in 419.1 min
