grid,run,arm,seed,condition,norm_clamp,lambda_con,t_fit,t_gen,t_gen_scored,censored,max_te,final_norm,nn_purity
grid4,aug_clamp23_s0,aug_clamp23,0,supcon_aug,23.0,0.3,800,400,400,False,0.922,23.0,
grid4,aug_clamp23_s1,aug_clamp23,1,supcon_aug,23.0,0.3,1000,400,400,False,0.9265,23.0,
grid4,aug_clamp23_s2,aug_clamp23,2,supcon_aug,23.0,0.3,800,400,400,False,0.9237,23.0,
grid4,aug_clamp23_s3,aug_clamp23,3,supcon_aug,23.0,0.3,800,400,400,False,0.9242,23.0,
grid4,aug_clamp23_s4,aug_clamp23,4,supcon_aug,23.0,0.3,1000,600,600,False,0.9262,23.0,
grid4,augce_s0,augce,0,augce,0.0,0.3,,1800,1800,False,0.9208,88.33,
grid4,augce_s1,augce,1,augce,0.0,0.3,11800,1800,1800,False,0.9272,91.22,
grid4,augce_s2,augce,2,augce,0.0,0.3,4200,1800,1800,False,0.9339,96.21,
grid4,augce_s3,augce,3,augce,0.0,0.3,11600,2000,2000,False,0.9168,90.91,
grid4,augce_s4,augce,4,augce,0.0,0.3,,2200,2200,False,0.9158,88.0,
grid4,base_clamp23_s0,base_clamp23,0,baseline,23.0,0.3,600,400,400,False,0.911,23.0,
grid4,base_clamp23_s1,base_clamp23,1,baseline,23.0,0.3,400,400,400,False,0.9059,23.0,
grid4,base_clamp23_s2,base_clamp23,2,baseline,23.0,0.3,400,400,400,False,0.908,23.0,
grid4,base_clamp23_s3,base_clamp23,3,baseline,23.0,0.3,400,400,400,False,0.9166,23.0,
grid4,base_clamp23_s4,base_clamp23,4,baseline,23.0,0.3,600,400,400,False,0.9072,23.0,
grid4,baseline_s0,baseline,0,baseline,0.0,0.3,600,33400,33400,False,0.8773,62.08,
grid4,baseline_s1,baseline,1,baseline,0.0,0.3,600,37600,37600,False,0.8684,60.57,
grid4,baseline_s2,baseline,2,baseline,0.0,0.3,600,32200,32200,False,0.8714,62.72,
grid4,baseline_s3,baseline,3,baseline,0.0,0.3,600,29800,29800,False,0.8748,63.63,
grid4,baseline_s4,baseline,4,baseline,0.0,0.3,600,39400,39400,False,0.8671,59.77,
grid4,supcon_aug_s0,supcon_aug,0,supcon_aug,0.0,0.3,600,43600,43600,False,0.8797,90.92,
grid4,supcon_aug_s1,supcon_aug,1,supcon_aug,0.0,0.3,800,46000,46000,False,0.8823,94.44,
grid4,supcon_aug_s2,supcon_aug,2,supcon_aug,0.0,0.3,600,44200,44200,False,0.8731,93.09,
grid4,supcon_aug_s3,supcon_aug,3,supcon_aug,0.0,0.3,600,41600,41600,False,0.8752,94.08,
grid4,supcon_aug_s4,supcon_aug,4,supcon_aug,0.0,0.3,800,42200,42200,False,0.8897,93.33,
grid4,supcon_label_s0,supcon_label,0,supcon_label,0.0,0.3,600,16400,16400,False,0.9218,101.46,
grid4,supcon_label_s1,supcon_label,1,supcon_label,0.0,0.3,600,17400,17400,False,0.924,103.23,
grid4,supcon_label_s2,supcon_label,2,supcon_label,0.0,0.3,600,15600,15600,False,0.9278,101.24,
grid4,supcon_label_s3,supcon_label,3,supcon_label,0.0,0.3,600,15200,15200,False,0.9294,101.27,
grid4,supcon_label_s4,supcon_label,4,supcon_label,0.0,0.3,600,15800,15800,False,0.9294,104.26,
grid4,supcon_shufpair_s0,supcon_shufpair,0,supcon_shufpair,0.0,0.3,600,,100000,True,0.7611,136.15,
grid4,supcon_shufpair_s1,supcon_shufpair,1,supcon_shufpair,0.0,0.3,600,,100000,True,0.7571,136.6,
grid4,supcon_shufpair_s2,supcon_shufpair,2,supcon_shufpair,0.0,0.3,600,,100000,True,0.7632,135.57,
grid4,supcon_shufpair_s3,supcon_shufpair,3,supcon_shufpair,0.0,0.3,600,,100000,True,0.7935,133.06,
grid4,supcon_shufpair_s4,supcon_shufpair,4,supcon_shufpair,0.0,0.3,600,,100000,True,0.7826,134.62,
grid4b,aug_c35_s0,aug_c35,0,supcon_aug,35.0,0.3,600,600,600,False,0.9123,35.0,
grid4b,aug_c35_s1,aug_c35,1,supcon_aug,35.0,0.3,800,600,600,False,0.9094,35.0,
grid4b,aug_c35_s3,aug_c35,3,supcon_aug,35.0,0.3,600,600,600,False,0.9194,35.0,
grid4b,aug_c35_s4,aug_c35,4,supcon_aug,35.0,0.3,800,600,600,False,0.9195,35.0,
grid4b,aug_c50_s0,aug_c50,0,supcon_aug,50.0,0.3,600,5200,5200,False,0.9068,50.0,
grid4b,aug_c50_s1,aug_c50,1,supcon_aug,50.0,0.3,600,6200,6200,False,0.9088,50.0,
grid4b,aug_c50_s3,aug_c50,3,supcon_aug,50.0,0.3,600,5000,5000,False,0.9116,50.0,
grid4b,aug_c50_s4,aug_c50,4,supcon_aug,50.0,0.3,600,5000,5000,False,0.9053,50.0,
grid4b,aug_c65_s0,aug_c65,0,supcon_aug,65.0,0.3,600,14600,14600,False,0.8979,65.0,
grid4b,aug_c65_s1,aug_c65,1,supcon_aug,65.0,0.3,600,16400,16400,False,0.8961,65.0,
grid4b,aug_c65_s3,aug_c65,3,supcon_aug,65.0,0.3,600,13200,13200,False,0.9069,65.0,
grid4b,aug_c65_s4,aug_c65,4,supcon_aug,65.0,0.3,600,15200,15200,False,0.8952,65.0,
grid4b,aug_c80_s0,aug_c80,0,supcon_aug,80.0,0.3,600,28000,28000,False,0.8857,80.0,
grid4b,aug_c80_s1,aug_c80,1,supcon_aug,80.0,0.3,600,28200,28200,False,0.8856,80.0,
grid4b,aug_c80_s3,aug_c80,3,supcon_aug,80.0,0.3,600,26600,26600,False,0.891,80.0,
grid4b,aug_c80_s4,aug_c80,4,supcon_aug,80.0,0.3,600,30000,30000,False,0.8887,80.0,
grid4b,aug_c92_s0,aug_c92,0,supcon_aug,92.0,0.3,800,44400,44400,False,0.8799,92.0,
grid4b,aug_c92_s1,aug_c92,1,supcon_aug,92.0,0.3,800,43000,43000,False,0.8745,92.0,
grid4b,aug_c92_s3,aug_c92,3,supcon_aug,92.0,0.3,600,40400,40400,False,0.8783,92.0,
grid4b,aug_c92_s4,aug_c92,4,supcon_aug,92.0,0.3,800,41400,41400,False,0.8873,92.0,
grid4b,aug_lam0.03_s0,aug_lam0.03,0,supcon_aug,0.0,0.03,600,33000,33000,False,0.8875,90.02,
grid4b,aug_lam0.03_s3,aug_lam0.03,3,supcon_aug,0.0,0.03,600,31000,31000,False,0.893,91.52,
grid4b,aug_lam0.1_s0,aug_lam0.1,0,supcon_aug,0.0,0.1,600,36800,36800,False,0.8826,89.46,
grid4b,aug_lam0.1_s3,aug_lam0.1,3,supcon_aug,0.0,0.1,600,35600,35600,False,0.8907,90.48,
grid4b,base_c35_s0,base_c35,0,baseline,35.0,0.3,400,600,600,False,0.8982,35.0,
grid4b,base_c35_s1,base_c35,1,baseline,35.0,0.3,400,400,400,False,0.9011,35.0,
grid4b,base_c35_s3,base_c35,3,baseline,35.0,0.3,400,400,400,False,0.9046,35.0,
grid4b,base_c35_s4,base_c35,4,baseline,35.0,0.3,600,600,600,False,0.9007,35.0,
grid4b,base_c50_s0,base_c50,0,baseline,50.0,0.3,400,9200,9200,False,0.8834,50.0,
grid4b,base_c50_s1,base_c50,1,baseline,50.0,0.3,400,10000,10000,False,0.8837,50.0,
grid4b,base_c50_s3,base_c50,3,baseline,50.0,0.3,400,7200,7200,False,0.8912,50.0,
grid4b,base_c50_s4,base_c50,4,baseline,50.0,0.3,600,9800,9800,False,0.8845,50.0,
grid4b,base_c65_s0,base_c65,0,baseline,65.0,0.3,600,22400,22400,False,0.8713,65.0,
