stem,domain,cell,s,g,y,judge
stem_0000,ml,LL,0,0,7.042855527303175,microsoft/Phi-3.5-mini-instruct
stem_0000,ml,LH,0,1,8.92315977544257,microsoft/Phi-3.5-mini-instruct
stem_0000,ml,HL,1,0,8.90742407629268,microsoft/Phi-3.5-mini-instruct
stem_0000,ml,HH,1,1,8.996940743374653,microsoft/Phi-3.5-mini-instruct
stem_0004,ml,LL,0,0,8.930730327860601,microsoft/Phi-3.5-mini-instruct
stem_0004,ml,LH,0,1,8.928397161711473,microsoft/Phi-3.5-mini-instruct
stem_0004,ml,HL,1,0,8.946354476277111,microsoft/Phi-3.5-mini-instruct
stem_0004,ml,HH,1,1,8.997972750931448,microsoft/Phi-3.5-mini-instruct
stem_0005,ml,LL,0,0,8.886250549730903,microsoft/Phi-3.5-mini-instruct
stem_0005,ml,LH,0,1,8.994478892930154,microsoft/Phi-3.5-mini-instruct
stem_0005,ml,HL,1,0,8.851658109748314,microsoft/Phi-3.5-mini-instruct
stem_0005,ml,HH,1,1,8.997229336547276,microsoft/Phi-3.5-mini-instruct
stem_0007,ml,LL,0,0,5.467943401279626,microsoft/Phi-3.5-mini-instruct
stem_0007,ml,LH,0,1,8.168587275982645,microsoft/Phi-3.5-mini-instruct
stem_0007,ml,HL,1,0,8.577167167464722,microsoft/Phi-3.5-mini-instruct
stem_0007,ml,HH,1,1,8.951483663317049,microsoft/Phi-3.5-mini-instruct
stem_0008,ml,LL,0,0,8.735408611119965,microsoft/Phi-3.5-mini-instruct
stem_0008,ml,LH,0,1,8.982362846477429,microsoft/Phi-3.5-mini-instruct
stem_0008,ml,HL,1,0,8.855247215410657,microsoft/Phi-3.5-mini-instruct
stem_0008,ml,HH,1,1,8.986966787319844,microsoft/Phi-3.5-mini-instruct
stem_0009,ml,LL,0,0,7.699132843999905,microsoft/Phi-3.5-mini-instruct
stem_0009,ml,LH,0,1,8.96563084868066,microsoft/Phi-3.5-mini-instruct
stem_0009,ml,HL,1,0,8.923363050835256,microsoft/Phi-3.5-mini-instruct
stem_0009,ml,HH,1,1,8.99725263703586,microsoft/Phi-3.5-mini-instruct
stem_0011,ml,LL,0,0,7.412046881858259,microsoft/Phi-3.5-mini-instruct
stem_0011,ml,LH,0,1,8.980565499755699,microsoft/Phi-3.5-mini-instruct
stem_0011,ml,HL,1,0,2.5913519761525095,microsoft/Phi-3.5-mini-instruct
stem_0011,ml,HH,1,1,8.95494226498704,microsoft/Phi-3.5-mini-instruct
stem_0012,ml,LL,0,0,8.786164876056091,microsoft/Phi-3.5-mini-instruct
stem_0012,ml,LH,0,1,8.964721646651597,microsoft/Phi-3.5-mini-instruct
stem_0012,ml,HL,1,0,8.336864890813786,microsoft/Phi-3.5-mini-instruct
stem_0012,ml,HH,1,1,8.96074770837896,microsoft/Phi-3.5-mini-instruct
stem_0013,ml,LL,0,0,6.5692657874698455,microsoft/Phi-3.5-mini-instruct
stem_0013,ml,LH,0,1,8.671148737093688,microsoft/Phi-3.5-mini-instruct
stem_0013,ml,HL,1,0,8.83546487685885,microsoft/Phi-3.5-mini-instruct
stem_0013,ml,HH,1,1,8.98405465915161,microsoft/Phi-3.5-mini-instruct
stem_0014,ml,LL,0,0,8.097498741420068,microsoft/Phi-3.5-mini-instruct
stem_0014,ml,LH,0,1,8.9870388401157,microsoft/Phi-3.5-mini-instruct
stem_0014,ml,HL,1,0,8.598969522332425,microsoft/Phi-3.5-mini-instruct
stem_0014,ml,HH,1,1,8.998858186353079,microsoft/Phi-3.5-mini-instruct
stem_0015,ml,LL,0,0,8.927317538052968,microsoft/Phi-3.5-mini-instruct
stem_0015,ml,LH,0,1,8.99770437887909,microsoft/Phi-3.5-mini-instruct
stem_0015,ml,HL,1,0,8.64599589252498,microsoft/Phi-3.5-mini-instruct
stem_0015,ml,HH,1,1,8.98948747475843,microsoft/Phi-3.5-mini-instruct
stem_0016,ml,LL,0,0,8.470897227675096,microsoft/Phi-3.5-mini-instruct
stem_0016,ml,LH,0,1,8.916090793489929,microsoft/Phi-3.5-mini-instruct
